date,btc_price,fear_greed_index
2018-02-18,11006.65,63.0
2018-03-13,9232.71,41.0
2018-04-19,8097.42,25.0
2018-05-15,8696.97,40.0
2018-06-12,6880.13,19.0
2018-07-10,6648.26,37.0
2018-08-08,6711.73,23.0
2018-09-08,6397.82,18.0
2018-10-03,6524.61,36.0
2018-10-06,6621.19,34.0
2018-11-01,6366.72,29.0
2018-11-29,4267.24,18.0
2018-12-27,3781.61,29.0
2019-01-28,3553.12,35.0
2019-02-25,3742.87,47.0
2019-02-28,3813.38,39.0
2019-03-23,3989.16,50.0
2019-04-17,5213.6,61.0
2019-05-15,7990.06,77.0
2019-06-18,9312.87,83.0
2019-07-14,11418.51,61.0
2019-07-20,10536.57,34.0
2019-08-11,11327.84,45.0
2019-09-09,10404.33,41.0
2019-10-07,7890.23,27.0
2019-11-07,9340.05,54.0
2019-12-06,7373.78,29.0
2019-12-08,7493.55,28.0
2020-01-03,6963.85,38.0
2020-01-26,8348.67,42.0
2020-02-23,9658.61,46.0
2020-03-22,6145.77,11.0
2020-04-25,7495.39,24.0
2020-05-24,9170.36,43.0
2020-06-21,9360.25,37.0
2020-07-22,9384.38,50.0
2020-08-14,11817.16,78.0
2020-09-08,10359.45,41.0
2020-09-11,10342.16,41.0
2020-10-12,11377.81,52.0
2020-11-10,15260.0,90.0
2020-12-05,18618.5,93.0
2021-01-03,32079.5,93.0
2021-01-28,29976.0,55.0
2021-01-31,34210.5,78.0
2021-02-26,47027.0,55.0
2021-03-23,54661.5,66.0
2021-04-23,52081.5,55.0
2021-05-24,35689.0,10.0
2021-06-25,34904.5,27.0
2021-06-27,32400.0,22.0
2021-07-17,31222.5,15.0
2021-08-20,47017.0,70.0
2021-09-21,41245.5,27.0
2021-10-10,55059.0,71.0
2021-11-11,64385.0,77.0
2021-11-13,64320.5,72.0
2021-12-06,48780.5,16.0
2022-01-06,43433.5,15.0
2022-02-04,37198.5,20.0
2022-03-07,38249.5,23.0
2022-04-04,46245.0,52.0
2022-04-07,43394.5,34.0
2022-04-30,38641.5,20.0
2022-05-25,29557.5,11.0
2022-06-23,20153.5,11.0
2022-07-18,20866.0,20.0
2022-08-18,23385.5,30.0
2022-08-24,21475.5,25.0
2022-09-16,19613.0,20.0
2022-10-14,19342.5,24.0
2022-11-10,15952.5,22.0
2022-12-08,16844.5,25.0
2023-01-08,16939.5,25.0
2023-01-17,21265.5,51.0
2023-02-08,23228.5,58.0
2023-03-09,21694.0,44.0
2023-04-03,28145.0,63.0
2023-05-07,28891.0,64.0
2023-06-03,27197.0,53.0
2023-06-08,26347.5,50.0
2023-06-28,30500.0,62.0
2023-08-04,29206.5,54.0
2023-09-13,25866.5,41.0
2023-10-11,27381.5,47.0
2023-11-03,34870.0,65.0
2023-11-08,35394.5,66.0
2023-11-28,37208.5,68.0
2023-12-27,42487.5,73.0
2024-01-27,41777.5,55.0
2024-03-01,61529.5,80.0
2024-03-26,69943.5,81.0
2024-04-01,71283.5,79.0
2024-04-26,64422.5,70.0
2024-05-25,68658.0,76.0
2024-06-14,66664.5,74.0
2024-07-21,67332.0,74.0
2024-08-12,59076.9,25.0
2024-08-15,58771.9,29.0
2024-09-12,57512.5,31.0
2024-10-16,66989.8,73.0
2024-11-09,76583.9,75.0
2024-12-10,97500.3,78.0
2025-01-08,97089.1,70.0
2025-01-30,103563.4,70.0
2025-02-28,84676.6,16.0
2025-03-25,87480.0,46.0
