date,fear_greed_index,rating,price
2024-01-24,72.49,greed,4868.55
2024-01-25,73.23,greed,4894.16
2024-01-26,73.8,greed,4890.97
2024-01-29,74.11,greed,4927.93
2024-01-30,74.23,greed,4924.97
2024-01-31,64.11,greed,4845.65
2024-02-01,72.34,greed,4906.19
2024-02-02,74.6,greed,4958.61
2024-02-05,73.31,greed,4942.81
2024-02-06,73.2,greed,4954.23
2024-02-07,73.77,greed,4995.06
2024-02-08,74.6,greed,4997.91
2024-02-09,75.43,extreme greed,5026.61
2024-02-12,75.83,extreme greed,5021.84
2024-02-13,66.74,greed,4953.17
2024-02-14,67.51,greed,5000.62
2024-02-15,73.86,greed,5029.73
2024-02-16,73.49,greed,5005.57
2024-02-20,63.74,greed,4975.51
2024-02-21,63.7,greed,4981.8
2024-02-22,73.94,greed,5087.03
2024-02-23,73.34,greed,5088.8
2024-02-26,71.91,greed,5069.53
2024-02-27,75.77,extreme greed,5078.18
2024-02-28,76.77,extreme greed,5069.76
2024-02-29,77.46,extreme greed,5096.27
2024-03-01,76.83,extreme greed,5137.08
2024-03-04,79.23,extreme greed,5130.95
2024-03-05,76.11,extreme greed,5078.65
2024-03-06,72.54,greed,5104.76
2024-03-07,73.86,greed,5157.36
2024-03-08,70.03,greed,5123.69
2024-03-11,62.77,greed,5117.94
2024-03-12,72.2,greed,5175.27
2024-03-13,71.77,greed,5165.31
2024-03-14,70.4,greed,5150.48
2024-03-15,68.63,greed,5117.09
2024-03-18,70.74,greed,5149.42
2024-03-19,70.86,greed,5178.51
2024-03-20,69.63,greed,5224.62
2024-03-21,71.37,greed,5241.53
2024-03-22,69.51,greed,5234.18
2024-03-25,67.43,greed,5218.19
2024-03-26,67.91,greed,5203.58
2024-03-27,69.77,greed,5248.49
2024-03-28,68.77,greed,5254.35
2024-04-01,71.26,greed,5243.77
2024-04-02,71.14,greed,5205.81
2024-04-03,69.4,greed,5211.49
2024-04-04,53.8,neutral,5147.21
2024-04-05,58.1,greed,5204.34
2024-04-08,64.03,greed,5202.39
2024-04-09,59.63,greed,5209.91
2024-04-10,49.67,neutral,5160.64
2024-04-11,56.66,greed,5199.06
2024-04-12,45.01,neutral,5123.41
2024-04-15,38.4,fear,5061.82
2024-04-16,35.11,fear,5051.41
2024-04-17,31.16,fear,5022.21
2024-04-18,30.4,fear,5011.12
2024-04-19,27.67,fear,4967.23
2024-04-22,34.17,fear,5010.6
2024-04-23,36.57,fear,5070.55
2024-04-24,37.49,fear,5071.63
2024-04-25,39.09,fear,5048.42
2024-04-26,40.51,fear,5099.96
2024-04-29,42.43,fear,5116.17
2024-04-30,40.54,fear,5035.69
2024-05-01,40.51,fear,5018.39
2024-05-02,42.23,fear,5064.2
2024-05-03,43.26,fear,5127.79
2024-05-06,39.0,fear,5180.74
2024-05-07,37.17,fear,5187.7
2024-05-08,38.17,fear,5187.67
2024-05-09,42.23,fear,5214.08
2024-05-10,46.03,neutral,5222.68
2024-05-13,48.11,neutral,5221.42
2024-05-14,55.29,greed,5246.68
2024-05-15,59.37,greed,5308.15
2024-05-16,62.31,greed,5297.1
2024-05-17,62.8,greed,5303.27
2024-05-20,60.43,greed,5308.13
2024-05-21,59.43,greed,5321.41
2024-05-22,58.51,greed,5307.01
2024-05-23,52.37,neutral,5267.84
2024-05-24,51.74,neutral,5304.72
2024-05-28,54.69,neutral,5306.04
2024-05-29,49.97,neutral,5266.95
2024-05-30,45.09,neutral,5235.48
2024-05-31,48.43,neutral,5277.51
2024-06-03,45.49,neutral,5283.4
2024-06-04,47.63,neutral,5291.34
